iter	Passed	Remaining
402	12361	18312
403	12391	18280
404	12422	18250
405	12458	18227
406	12502	18216
407	12543	18200
408	12584	18184
409	12636	18183
410	12676	18166
411	12708	18136
412	12736	18102
413	12777	18085
414	12861	18130
415	12897	18106
416	12922	18066
417	12945	18025
418	12976	17993
419	13006	17960
420	13030	17920
421	13049	17872
422	13074	17834
423	13094	17789
424	13114	17742
425	13131	17693
426	13147	17642
427	13165	17594
428	13190	17556
429	13219	17523
430	13262	17509
431	13300	17487
432	13340	17468
433	13371	17438
434	13394	17397
435	13426	17368
436	13467	17351
437	13510	17335
438	13530	17290
439	13548	17243
440	13571	17203
441	13598	17167
442	13636	17146
443	13666	17114
444	13687	17070
445	13718	17040
446	13757	17020
447	13792	16993
448	13843	16988
449	13881	16966
450	13914	16938
451	13952	16915
452	13992	16896
453	14045	16892
454	14096	16885
455	14126	16852
456	14181	16849
457	14246	16858
458	14275	16825
459	14295	16781
460	14324	16748
461	14376	16741
462	14477	16791
463	14523	16776
464	14590	16786
465	14711	16858
466	14818	16912
467	14955	17001
468	15058	17049
469	15134	17066
470	15309	17195
471	15380	17205
472	15507	17277
473	15722	17447
474	15775	17435
475	15854	17452
476	15938	17475
477	16037	17513
478	16094	17505
479	16274	17631
480	16325	17615
481	16383	17606
482	16422	17578
483	16453	17541
484	16489	17509
485	16584	17539
486	16610	17497
487	16667	17487
488	16707	17459
489	16742	17426
490	16835	17452
491	16872	17420
492	16899	17379
493	16922	17333
494	16977	17320
495	17002	17276
496	17022	17228
497	17045	17182
498	17072	17140
499	17095	17095
500	17112	17044
501	17130	16993
502	17170	16965
503	17212	16939
504	17236	16894
505	17278	16868
506	17300	16823
507	17332	16786
508	17363	16749
509	17430	16746
510	17461	16709
511	17478	16658
512	17492	16605
513	17506	16553
514	17520	16499
515	17533	16446
516	17546	16392
517	17563	16343
518	17583	16296
519	17608	16253
520	17639	16217
521	17656	16168
522	17672	16118
523	17688	16068
524	17704	16018
525	17718	15967
526	17736	15919
527	17751	15868
528	17763	15816
529	17779	15766
530	17801	15723
531	17819	15675
532	17842	15632
533	17863	15588
534	17877	15538
535	17896	15492
536	17908	15441
537	17924	15392
538	17937	15341
539	17951	15291
540	17965	15242
541	17981	15194
542	17996	15146
543	18014	15100
544	18035	15056
545	18064	15020
546	18080	14973
547	18094	14924
548	18107	14875
549	18122	14827
550	18135	14778
551	18149	14730
552	18163	14682
553	18179	14635
554	18194	14588
555	18209	14541
556	18227	14496
557	18245	14452
558	18260	14406
559	18282	14364
560	18295	14317
561	18309	14269
562	18321	14221
563	18333	14173
564	18345	14124
565	18358	14077
566	18376	14033
567	18392	13989
568	18410	13945
569	18423	13898
570	18439	13854
571	18465	13816
572	18485	13775
573	18499	13729
574	18515	13685
575	18528	13639
576	18540	13592
577	18554	13546
578	18568	13501
579	18582	13456
580	18596	13411
581	18620	13373
582	18638	13331
583	18670	13299
584	18725	13283
585	18744	13242
586	18771	13206
587	18788	13164
588	18820	13133
589	18843	13094
590	18860	13052
591	18874	13007
592	18887	12963
593	18908	12923
594	18923	12880
595	18944	12841
596	18960	12798
597	18972	12754
598	18985	12709
599	18999	12666
600	19013	12622
601	19027	12579
602	19040	12535
603	19055	12493
604	19073	12452
605	19089	12411
606	19114	12375
607	19139	12340
608	19164	12304
609	19180	12262
610	19197	12222
611	19210	12179
612	19224	12137
613	19241	12096
614	19255	12054
615	19269	12011
616	19282	11969
617	19298	11928
618	19319	11891
619	19335	11850
620	19369	11821
621	19386	11781
622	19403	11741
623	19418	11700
624	19432	11659
625	19446	11618
626	19460	11576
627	19472	11534
628	19486	11493
629	19503	11454
630	19532	11422
631	19556	11387
632	19576	11349
633	19589	11308
634	19602	11267
635	19618	11228
636	19634	11189
637	19650	11149
638	19663	11108
639	19678	11069
640	19694	11030
641	19709	10990
642	19725	10951
643	19739	10911
644	19757	10874
645	19771	10834
646	19786	10795
647	19811	10761
648	19826	10723
649	19841	10684
650	19857	10645
651	19870	10605
652	19885	10566
653	19897	10526
654	19911	10487
655	19925	10448
656	19940	10410
657	19956	10372
658	19972	10334
659	19996	10301
660	20012	10263
661	20048	10236
662	20074	10203
663	20091	10166
664	20104	10127
665	20125	10092
666	20155	10062
667	20171	10025
668	20214	10001
669	20252	9975
670	20279	9943
671	20297	9907
672	20314	9870
673	20331	9834
674	20345	9796
675	20361	9759
676	20378	9722
677	20393	9685
678	20414	9650
679	20433	9615
680	20448	9578
681	20462	9541
682	20475	9503
683	20488	9465
684	20501	9427
685	20515	9390
686	20536	9356
687	20549	9318
688	20569	9284
689	20589	9250
690	20604	9214
691	20630	9182
692	20645	9146
693	20661	9109
694	20677	9074
695	20691	9037
696	20706	9001
697	20719	8964
698	20732	8927
699	20746	8891
700	20759	8854
701	20773	8818
702	20788	8782
703	20806	8748
704	20821	8712
705	20858	8686
706	20875	8651
707	20890	8616
708	20906	8580
709	20919	8544
710	20933	8508
711	20945	8472
712	20961	8437
713	21031	8424
714	21046	8389
715	21068	8356
716	21083	8321
717	21110	8291
718	21123	8255
719	21139	8220
720	21157	8187
721	21170	8151
722	21184	8116
723	21200	8081
724	21213	8046
725	21227	8011
726	21252	7980
727	21268	7946
728	21298	7917
729	21312	7882
730	21328	7848
731	21344	7814
732	21359	7780
733	21375	7746
734	21389	7711
735	21402	7677
736	21415	7642
737	21427	7607
738	21444	7573
739	21459	7539
740	21476	7506
741	21495	7474
742	21516	7442
743	21545	7413
744	21558	7378
745	21571	7344
746	21585	7310
747	21599	7277
748	21613	7243
749	21632	7210
750	21647	7177
751	21661	7143
752	21686	7113
753	21706	7081
754	21735	7053
755	21761	7023
756	21776	6990
757	21788	6956
758	21800	6922
759	21813	6888
760	21827	6855
761	21841	6821
762	21853	6788
763	21867	6754
764	21881	6721
765	21899	6690
766	21941	6665
767	22042	6658
768	22124	6645
769	22156	6618
770	22171	6585
771	22195	6555
772	22210	6522
773	22224	6489
774	22237	6456
775	22252	6423
776	22268	6391
777	22280	6357
778	22296	6325
779	22308	6292
780	22322	6259
781	22338	6227
782	22356	6195
783	22370	6163
784	22394	6133
785	22407	6100
786	22424	6069
787	22439	6037
788	22456	6005
789	22473	5973
790	22489	5942
791	22511	5912
792	22527	5880
793	22544	5849
794	22567	5819
795	22586	5788
796	22601	5756
797	22616	5724
798	22641	5695
799	22653	5663
800	22667	5631
801	22680	5599
802	22693	5567
803	22706	5535
804	22718	5503
805	22732	5471
806	22746	5440
807	22761	5408
808	22775	5377
809	22791	5346
810	22808	5315
811	22824	5284
812	22844	5254
813	22859	5223
814	22872	5191
815	22883	5160
816	22899	5129
817	22912	5097
818	22925	5066
819	22940	5035
820	22955	5004
821	22971	4974
822	22986	4943
823	23008	4914
824	23023	4883
825	23050	4855
826	23075	4827
827	23091	4796
828	23107	4766
829	23121	4735
830	23136	4705
831	23151	4674
832	23167	4644
833	23181	4614
834	23195	4583
835	23207	4552
836	23224	4522
837	23255	4495
838	23279	4467
839	23298	4437
840	23316	4408
841	23331	4378
842	23348	4348
843	23378	4321
844	23394	4291
845	23406	4260
846	23422	4230
847	23438	4201
848	23460	4172
849	23478	4143
850	23499	4114
851	23515	4084
852	23531	4055
853	23546	4025
854	23560	3995
855	23574	3965
856	23588	3936
857	23601	3906
858	23615	3876
859	23632	3847
860	23663	3820
861	23692	3792
862	23715	3764
863	23740	3736
864	23760	3708
865	23775	3678
866	23789	3649
867	23802	3619
868	23818	3590
869	23832	3561
870	23848	3532
871	23869	3503
872	23885	3474
873	23905	3446
874	23922	3417
875	23946	3389
876	23960	3360
877	23972	3331
878	23985	3301
879	23999	3272
880	24014	3243
881	24028	3214
882	24046	3186
883	24063	3157
884	24079	3129
885	24102	3101
886	24123	3073
887	24156	3046
888	24169	3017
889	24183	2989
890	24197	2960
891	24214	2931
892	24228	2903
893	24243	2874
894	24259	2846
895	24272	2817
896	24288	2788
897	24305	2760
898	24323	2732
899	24338	2704
900	24359	2676
901	24375	2648
902	24388	2619
903	24401	2591
904	24413	2562
905	24426	2534
906	24441	2506
907	24456	2477
908	24471	2449
909	24484	2421
910	24497	2393
911	24517	2365
912	24534	2337
913	24561	2311
914	24574	2282
915	24587	2254
916	24601	2226
917	24615	2198
918	24628	2170
919	24639	2142
920	24655	2114
921	24669	2086
922	24683	2059
923	24697	2031
924	24712	2003
925	24730	1976
926	24751	1949
927	24769	1921
928	24782	1894
929	24796	1866
930	24809	1838
931	24821	1811
932	24835	1783
933	24848	1755
934	24863	1728
935	24880	1701
936	24893	1673
937	24906	1646
938	24920	1618
939	24940	1591
940	24954	1564
941	24973	1537
942	24992	1510
943	25008	1483
944	25021	1456
945	25034	1429
946	25046	1401
947	25059	1374
948	25073	1347
949	25088	1320
950	25101	1293
951	25113	1266
952	25129	1239
953	25146	1212
954	25163	1185
955	25187	1159
956	25200	1132
957	25214	1105
958	25226	1078
959	25239	1051
960	25252	1024
961	25266	998
962	25281	971
963	25293	944
964	25305	917
965	25319	891
966	25332	864
967	25357	838
968	25377	811
969	25396	785
970	25410	758
971	25423	732
972	25436	705
973	25449	679
974	25463	652
975	25475	626
976	25493	600
977	25505	573
978	25517	547
979	25530	521
980	25543	494
981	25557	468
982	25571	442
983	25592	416
984	25607	389
985	25627	363
986	25643	337
987	25657	311
988	25671	285
989	25687	259
990	25698	233
991	25712	207
992	25726	181
993	25740	155
994	25756	129
995	25771	103
996	25790	77
997	25806	51
998	25831	25
999	25843	0
