iter	RMSE
133	3.55863517
134	3.539192185
135	3.514971884
136	3.489619856
137	3.472109585
138	3.452503394
139	3.430648441
140	3.41552093
141	3.395517936
142	3.378455212
143	3.358008846
144	3.343404327
145	3.326134666
146	3.304054362
147	3.282048788
148	3.265462255
149	3.246663965
150	3.229217182
151	3.212533131
152	3.194757348
153	3.180887792
154	3.166013772
155	3.150501232
156	3.126491549
157	3.112673808
158	3.089963214
159	3.073677967
160	3.052052469
161	3.033390375
162	3.018479575
163	3.003613121
164	2.988503137
165	2.974838457
166	2.962576009
167	2.948593834
168	2.936544639
169	2.919160287
170	2.90879949
171	2.895279009
172	2.88254617
173	2.872153228
174	2.857265727
175	2.846903656
176	2.838095038
177	2.82790492
178	2.816836851
179	2.799561997
180	2.782637282
181	2.773611337
182	2.756728449
183	2.746932734
184	2.736886774
185	2.72630264
186	2.717704506
187	2.702397172
188	2.688851699
189	2.675722085
190	2.66851268
191	2.659913065
192	2.647042772
193	2.634267306
194	2.623278139
195	2.61561987
196	2.610057028
197	2.6031546
198	2.594536822
199	2.583268444
200	2.574493957
201	2.567900175
202	2.554522412
203	2.547077991
204	2.533729983
205	2.526283492
206	2.513398944
207	2.505680809
208	2.492175317
209	2.482384408
210	2.474381121
211	2.465048366
212	2.455551421
213	2.44613442
214	2.442599344
215	2.434851122
216	2.431011012
217	2.424834806
218	2.417519379
219	2.409566974
220	2.399655158
221	2.390788608
222	2.38252651
223	2.379505165
224	2.371086535
225	2.362925895
226	2.357185298
227	2.350721038
228	2.343388027
229	2.336313683
230	2.331656506
231	2.326167323
232	2.320772052
233	2.313457093
234	2.306690553
235	2.30258831
236	2.296816254
237	2.287668308
238	2.279057448
239	2.272404175
240	2.265856481
241	2.255589703
242	2.252106188
243	2.245207053
244	2.241484729
245	2.239862195
246	2.232063643
247	2.229190139
248	2.221675345
249	2.21591339
250	2.210519523
251	2.205305237
252	2.196821997
253	2.194326801
254	2.187637136
255	2.182349805
256	2.177274
257	2.16793521
258	2.162637951
259	2.15693111
260	2.151909038
261	2.14408365
262	2.138428539
263	2.133191521
264	2.128551104
265	2.121133399
266	2.115029862
267	2.109604771
268	2.106798793
269	2.104575509
270	2.099246466
271	2.096516691
272	2.090998188
273	2.085648409
274	2.079938539
275	2.073235228
276	2.071020288
277	2.067322537
278	2.06319713
279	2.059305471
280	2.05574048
281	2.04987744
282	2.045847951
283	2.042767556
284	2.037520224
285	2.034725734
286	2.029903514
287	2.023857052
288	2.017516639
289	2.013820394
290	2.009168017
291	2.005454772
292	1.999719142
293	1.995271884
294	1.98951355
295	1.984931088
296	1.981778236
297	1.976376765
298	1.971062526
299	1.964472646
300	1.95962909
301	1.954410525
302	1.948235879
303	1.945718999
304	1.939323616
305	1.936934428
306	1.932112341
307	1.927363303
308	1.922892623
309	1.918672411
310	1.911846492
311	1.90871622
312	1.903125128
313	1.898727192
314	1.894717394
315	1.889917409
316	1.886114009
317	1.881679887
318	1.877368719
319	1.873879905
320	1.870459706
321	1.866679003
322	1.863492958
323	1.860277779
324	1.856089795
325	1.851944627
326	1.850272469
327	1.848420702
328	1.846127337
329	1.842373615
330	1.839456242
331	1.836884548
332	1.835186134
333	1.83408083
334	1.832533806
335	1.829309733
336	1.827331054
337	1.825094186
338	1.820176709
339	1.81679171
340	1.814469893
341	1.810166186
342	1.805083447
343	1.803272924
344	1.798298734
345	1.795771955
346	1.792308591
347	1.78853966
348	1.787011084
349	1.783340798
350	1.779799956
351	1.77571787
352	1.773824291
353	1.770597231
354	1.766776714
355	1.763873666
356	1.761567214
357	1.75736592
358	1.755269051
359	1.751678856
360	1.748794084
361	1.746578894
362	1.743673496
363	1.740624108
364	1.738424906
365	1.734313928
366	1.730924379
367	1.727643575
368	1.724358956
369	1.722138959
370	1.718378612
371	1.7153354
372	1.713990836
373	1.711807729
374	1.709263867
375	1.707191591
376	1.703251273
377	1.701063412
378	1.697377252
379	1.692950309
380	1.69046713
381	1.686021066
382	1.682660858
383	1.679804199
384	1.677835476
385	1.674175844
386	1.672457153
387	1.669261435
388	1.666195661
389	1.663635934
390	1.66125712
391	1.657920593
392	1.656421716
393	1.653026733
394	1.65071342
395	1.649545724
396	1.647983609
397	1.64553748
398	1.644173447
399	1.641642711
400	1.639242425
401	1.636838049
402	1.634707981
403	1.632163998
404	1.629852381
405	1.628020111
406	1.625635317
407	1.622494191
408	1.620167852
409	1.618235482
410	1.616613364
411	1.614480987
412	1.611065855
413	1.608165537
414	1.6051299
415	1.60210358
416	1.599532007
417	1.597624654
418	1.594578618
419	1.591386579
420	1.589752777
421	1.588051729
422	1.58539573
423	1.582987557
424	1.580291561
425	1.579238627
426	1.575921751
427	1.573563916
428	1.57076954
429	1.568355523
430	1.566805463
431	1.565206939
432	1.563853744
433	1.562075798
434	1.560036455
435	1.556957701
436	1.554949482
437	1.553187131
438	1.54981247
439	1.548383865
440	1.545688262
441	1.543609449
442	1.541737022
443	1.539530248
444	1.537317337
445	1.53472302
446	1.532441369
447	1.530068754
448	1.528229302
449	1.526544363
450	1.525312729
451	1.52344401
452	1.5209059
453	1.518745766
454	1.517535189
455	1.515764932
456	1.513824061
457	1.512390002
458	1.510884473
459	1.509318715
460	1.506919437
461	1.505085867
462	1.503307211
463	1.501479373
464	1.498809193
465	1.497436625
466	1.494667144
467	1.493039459
468	1.49161364
469	1.490779482
470	1.4900008
471	1.488977871
472	1.488250465
473	1.487421778
474	1.485460579
475	1.482930255
476	1.481430441
477	1.479627663
478	1.478864651
479	1.476678186
480	1.474990557
481	1.473381932
482	1.472093025
483	1.470058742
484	1.468845864
485	1.46650752
486	1.464470124
487	1.463404855
488	1.460901472
489	1.458738624
490	1.457808869
491	1.456505868
492	1.454829764
493	1.452579864
494	1.451142974
495	1.449571716
496	1.446543135
497	1.44548774
498	1.443943159
499	1.442455116
500	1.440302238
501	1.438908512
502	1.437328193
503	1.435658334
504	1.433576509
505	1.431303624
506	1.42950139
507	1.426798872
508	1.425519239
509	1.423069847
510	1.422292549
511	1.421552217
512	1.420527528
513	1.419028949
514	1.417434587
515	1.414961335
516	1.413087522
517	1.410794682
518	1.408801709
519	1.406691132
520	1.405471862
521	1.403613124
522	1.402227242
523	1.400444093
524	1.399273444
525	1.398304124
526	1.39726811
527	1.395273139
528	1.393623613
529	1.391545081
530	1.389331288
531	1.387662374
532	1.385048019
533	1.384088934
534	1.383174367
535	1.381584327
536	1.37955318
537	1.378704083
538	1.377646208
539	1.375884689
540	1.374752939
541	1.372974789
542	1.371393231
543	1.369834949
544	1.369020887
545	1.367725973
546	1.365962592
547	1.364419334
548	1.363238425
549	1.361822485
550	1.360566098
551	1.359501626
552	1.358169241
553	1.356459364
554	1.355106503
555	1.353867629
556	1.351722906
557	1.349802478
558	1.348601265
559	1.347214633
560	1.346189225
561	1.344577065
562	1.343683501
563	1.342992707
564	1.340378189
565	1.339001307
566	1.337211469
567	1.336391691
568	1.335153787
569	1.33378325
570	1.332199602
571	1.331023998
572	1.329364642
573	1.328040076
574	1.327158026
575	1.325430462
576	1.323906733
577	1.322961067
578	1.321980407
579	1.321097097
580	1.320208415
581	1.318892842
582	1.317913317
583	1.316571109
584	1.316015573
585	1.314632684
586	1.313878085
587	1.312217941
588	1.311373826
589	1.310684638
590	1.309632467
591	1.308223655
592	1.306841858
593	1.306353224
594	1.304388348
595	1.303481848
596	1.302399893
597	1.300835087
598	1.298882559
599	1.298073203
600	1.297110816
601	1.29634674
602	1.29514386
603	1.293618219
604	1.292149506
605	1.29017075
606	1.289349531
607	1.288030647
608	1.286731642
609	1.28567024
610	1.285139931
611	1.284383391
612	1.28333226
613	1.281629096
614	1.280466789
615	1.279512718
616	1.279011206
617	1.278088128
618	1.276491815
619	1.27504602
620	1.273832644
621	1.272967572
622	1.271936551
623	1.270713188
624	1.27023086
625	1.269524176
626	1.268434904
627	1.266705959
628	1.265148595
629	1.263986393
630	1.262777264
631	1.261828441
632	1.260350164
633	1.259700529
634	1.258588136
635	1.257570055
636	1.256449232
637	1.255218529
638	1.254060085
639	1.253318713
640	1.25273759
641	1.251996673
642	1.250677617
643	1.249481523
644	1.24846293
645	1.247504427
646	1.246929016
647	1.246207672
648	1.245672094
649	1.244774093
650	1.243537368
651	1.242362462
652	1.241293032
653	1.240048006
654	1.239045556
655	1.237616545
656	1.236704991
657	1.235374686
658	1.23402346
659	1.233270416
660	1.232680213
661	1.231607042
662	1.230359913
663	1.229016089
664	1.227962688
665	1.227135267
666	1.226313694
667	1.225502365
668	1.224193889
669	1.222698244
670	1.22167362
671	1.220439867
672	1.219069509
673	1.218391824
674	1.217370408
675	1.216109864
676	1.215350602
677	1.214617207
678	1.213631753
679	1.213032195
680	1.21206767
681	1.21140386
682	1.210872293
683	1.210345457
684	1.209258838
685	1.208410761
686	1.207142422
687	1.205715255
688	1.205202311
689	1.20404274
690	1.202962653
691	1.201685862
692	1.200547984
693	1.199127605
694	1.198325602
695	1.197390398
696	1.196534657
697	1.194783038
698	1.194156425
699	1.193194131
700	1.191923474
701	1.191288049
702	1.190648546
703	1.189354578
704	1.188585739
705	1.187398153
706	1.186739071
707	1.185509661
708	1.184640117
709	1.18359557
710	1.182636408
711	1.181167383
712	1.180378963
713	1.17952157
714	1.178258416
715	1.177185007
716	1.176617606
717	1.176172783
718	1.175295501
719	1.174583147
720	1.173647996
721	1.173111587
722	1.172571051
723	1.171788018
724	1.170769376
725	1.169769351
726	1.168798879
727	1.167811219
728	1.167098392
729	1.166450447
730	1.166027919
731	1.16519923
732	1.164210061
733	1.163530984
734	1.162306492
735	1.160963902
736	1.160197704
737	1.159644709
738	1.158789313
739	1.15787333
740	1.156563658
741	1.155750306
742	1.154735251
743	1.153696763
744	1.153174127
745	1.152333562
746	1.151829303
747	1.151006575
748	1.150168591
749	1.149536143
750	1.14899484
751	1.14812263
752	1.147243032
753	1.146216602
754	1.14550396
755	1.144582686
756	1.144154108
757	1.143453805
758	1.14223786
759	1.141395992
760	1.14055012
761	1.139775072
762	1.139209175
763	1.138453516
764	1.137782422
765	1.137429436
766	1.136675111
767	1.136032722
768	1.134921939
769	1.133798703
770	1.133106332
771	1.1321368
772	1.130762528
773	1.130156629
774	1.129073434
775	1.128715138
776	1.127780078
777	1.126943651
778	1.126364121
779	1.126010972
780	1.125203869
781	1.12454686
782	1.123894907
783	1.12302665
784	1.122179372
785	1.121454938
786	1.120703327
787	1.119698195
788	1.119235753
789	1.118186441
790	1.117222872
791	1.116317781
792	1.115724942
793	1.114740734
794	1.114010942
795	1.113176879
796	1.112500821
797	1.111368303
798	1.110635995
799	1.110067797
800	1.108838571
801	1.107946798
802	1.107321205
803	1.106339456
804	1.105675678
805	1.104831724
806	1.1040759
807	1.103432828
808	1.102655433
809	1.102049992
810	1.10125006
811	1.100617757
812	1.100037269
813	1.099366964
814	1.098227987
815	1.097450855
816	1.096245684
817	1.095596651
818	1.094532456
819	1.093871551
820	1.093536649
821	1.093134076
822	1.092523801
823	1.092023615
824	1.091676272
825	1.091279977
826	1.090388831
827	1.089881002
828	1.089076884
829	1.088628518
830	1.087512689
831	1.086764214
832	1.086122472
833	1.085080106
834	1.084051467
835	1.083379907
836	1.082452879
837	1.081781165
838	1.081142699
839	1.080709752
840	1.079560838
841	1.078916381
842	1.078505847
843	1.078031453
844	1.077380105
845	1.076555363
846	1.076094623
847	1.075429934
848	1.074944832
849	1.073830749
850	1.073209501
851	1.072589666
852	1.071712679
853	1.070923227
854	1.07044771
855	1.069759288
856	1.06902798
857	1.068603778
858	1.06797554
859	1.067694581
860	1.067108593
861	1.066617068
862	1.066335777
863	1.065834159
864	1.065060549
865	1.0641917
866	1.063583454
867	1.063187735
868	1.062448716
869	1.062241779
870	1.061740472
871	1.061123476
872	1.060725906
873	1.059849565
874	1.058833236
875	1.058361718
876	1.058051572
877	1.05747973
878	1.056753839
879	1.056123535
880	1.055703151
881	1.055009459
882	1.054176243
883	1.05303992
884	1.052256908
885	1.05159533
886	1.050955685
887	1.050131265
888	1.049442657
889	1.048781138
890	1.047957918
891	1.047605963
892	1.047131572
893	1.046580187
894	1.046023052
895	1.045478382
896	1.044701858
897	1.044132519
898	1.043271656
899	1.042507542
900	1.041687987
901	1.041153373
902	1.040623125
903	1.040176133
904	1.039436508
905	1.038985553
906	1.038264089
907	1.037197813
908	1.036937462
909	1.036240524
910	1.035537324
911	1.034673668
912	1.034051796
913	1.033363683
914	1.03283861
915	1.032148271
916	1.031656381
917	1.030810422
918	1.030364737
919	1.029932691
920	1.029423435
921	1.028800625
922	1.02829371
923	1.027782573
924	1.027220086
925	1.026789068
926	1.02624927
927	1.025870299
928	1.025137846
929	1.024571487
930	1.023825342
931	1.023350357
932	1.022635833
933	1.022036463
934	1.021352721
935	1.02069546
936	1.020186362
937	1.019353992
938	1.018868883
939	1.018307966
940	1.017848506
941	1.017512187
942	1.016613528
943	1.016019276
944	1.015190969
945	1.014428963
946	1.013858163
947	1.013386262
948	1.012918652
949	1.012329387
950	1.011663443
951	1.011249925
952	1.010735765
953	1.009983141
954	1.009205507
955	1.008725612
956	1.008412124
957	1.007849759
958	1.007462081
959	1.007037022
960	1.006390227
961	1.005810432
962	1.005390988
963	1.004861289
964	1.003954901
965	1.003252755
966	1.002733551
967	1.002202189
968	1.001665405
969	1.000802204
970	1.000202289
971	0.9997663176
972	0.9992368453
973	0.9982759448
974	0.9978440454
975	0.9974763516
976	0.9970406687
977	0.9966595284
978	0.9960470222
979	0.9955457582
980	0.9948309409
981	0.9940511557
982	0.9934653175
983	0.9931281365
984	0.9925735401
985	0.9920598735
986	0.9913355245
987	0.9909242506
988	0.9905303326
989	0.9900480185
990	0.9894050456
991	0.9887613549
992	0.9882814897
993	0.9877064604
994	0.9873852325
995	0.9866861857
996	0.9859307782
997	0.9854611735
998	0.9851005777
999	0.9844798893
