BattingTeam,BowlingTeam,Venue,Overs,current_score,wickets_left,current_run_rate,required_run_rate,target
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",12.1,79,8,6.493150684931507,6.638297872340425,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",12.2,80,8,6.486486486486487,6.652173913043479,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",12.3,82,8,6.56,6.533333333333333,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",12.4,83,8,6.552631578947368,6.545454545454546,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",12.5,84,8,6.545454545454546,6.558139534883721,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",12.6,84,8,6.461538461538462,6.714285714285714,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",13.1,86,8,6.531645569620253,6.585365853658536,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",13.2,86,7,6.45,6.75,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",13.3,86,7,6.37037037037037,6.923076923076923,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",13.4,88,7,6.439024390243903,6.789473684210527,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",13.5,88,7,6.36144578313253,6.972972972972973,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",13.6,89,7,6.357142857142857,7.0,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",14.1,90,7,6.352941176470588,7.0285714285714285,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",14.2,91,7,6.348837209302325,7.0588235294117645,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",14.3,91,7,6.275862068965517,7.272727272727272,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",14.4,95,7,6.477272727272728,6.75,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",14.5,96,7,6.47191011235955,6.774193548387097,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",14.6,97,7,6.466666666666667,6.8,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",15.1,99,7,6.527472527472527,6.620689655172414,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",15.2,100,7,6.521739130434782,6.642857142857143,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",15.3,106,7,6.838709677419355,5.555555555555555,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",15.4,107,7,6.829787234042553,5.538461538461538,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",15.5,108,7,6.821052631578947,5.52,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",15.6,109,7,6.8125,5.5,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",16.1,109,7,6.742268041237113,5.739130434782608,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",16.2,111,7,6.795918367346939,5.454545454545454,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",16.3,111,7,6.727272727272728,5.714285714285714,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",16.4,115,7,6.9,4.8,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",16.5,116,7,6.891089108910891,4.7368421052631575,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",16.6,120,7,7.0588235294117645,3.6666666666666665,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",16.7,122,7,7.106796116504855,3.176470588235294,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",17.1,122,7,7.106796116504855,3.176470588235294,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",17.2,123,7,7.096153846153846,3.0,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",17.3,124,7,7.085714285714285,2.8,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",17.4,124,7,7.018867924528302,3.0,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",17.5,125,7,7.009345794392523,2.769230769230769,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",17.6,127,7,7.055555555555555,2.0,131
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",18.1,133,7,7.321100917431193,0.0,131
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",5.1,61,9,11.806451612903226,6.53932584269663,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",5.2,61,9,11.4375,6.613636363636363,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",5.3,62,9,11.272727272727272,6.620689655172414,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",5.4,66,9,11.647058823529411,6.418604651162791,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",5.5,67,9,11.485714285714286,6.423529411764706,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",5.6,67,9,11.166666666666666,6.5,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",6.1,67,9,10.864864864864863,6.578313253012048,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",6.2,68,9,10.736842105263158,6.585365853658536,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",6.3,69,9,10.615384615384617,6.592592592592593,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",6.4,73,9,10.95,6.375,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",6.5,73,9,10.682926829268292,6.455696202531645,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",6.6,77,9,11.0,6.230769230769231,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",7.1,77,9,10.744186046511627,6.311688311688312,158
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",7.2,78,9,10.636363636363637,6.315789473684211,158
