BattingTeam,BowlingTeam,Venue,Overs,current_score,wickets_left,current_run_rate,required_run_rate,target
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,9.4,80,9,8.275862068965518,4.741935483870968,129
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,11.2,79,6,6.970588235294118,13.5,196
Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,13.2,96,6,7.2,1.8,108
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",15.3,159,7,10.258064516129032,11.77777777777778,212
Mumbai Indians,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",16.6,111,3,6.529411764705882,18.33333333333333,166
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,8.6,27,6,3.0,13.727272727272728,178
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,15.5,105,7,6.631578947368421,12.48,157
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",7.2,49,9,6.681818181818182,7.184210526315789,140
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",16.4,108,4,6.48,12.3,149
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,14.3,137,7,9.448275862068966,9.636363636363637,190
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,17.2,162,4,9.346153846153848,13.5,198
Kolkata Knight Riders,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",9.6,97,7,9.7,11.4,211
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,6.6,40,7,5.714285714285714,10.153846153846152,172
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,8.1,89,7,10.89795918367347,1.943661971830986,112
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",16.3,131,7,7.9393939393939394,3.4285714285714284,143
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",8.4,68,8,7.846153846153846,12.529411764705882,210
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,12.2,84,7,6.8108108108108105,8.869565217391305,152
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,13.2,107,6,8.025,6.15,148
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,10.6,95,10,8.636363636363637,7.555555555555555,163
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,6.3,67,9,10.307692307692308,8.0,175
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,17.3,150,7,8.571428571428571,3.6,159
Mumbai Indians,Delhi Capitals,Wankhede Stadium,15.3,142,4,9.161290322580646,16.0,214
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,6.4,55,8,8.25,7.725,158
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,10.6,86,9,7.818181818181818,9.22222222222222,169
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,17.2,125,6,7.211538461538462,12.375,158
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,19.3,165,1,8.461538461538462,40.0,185
Kings XI Punjab,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,6.7,52,10,7.255813953488372,9.74025974025974,177
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,10.6,100,9,9.090909090909092,11.555555555555555,204
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,14.6,110,7,7.333333333333333,13.2,176
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,5.1,30,9,5.806451612903226,8.224719101123595,152
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,10.3,76,7,7.238095238095238,11.157894736842104,182
Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",15.8,183,7,11.20408163265306,17.454545454545453,247
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,15.4,162,6,10.340425531914894,15.923076923076923,231
Sunrisers Hyderabad,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",10.4,73,10,6.84375,8.785714285714286,155
Lucknow Super Giants,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",8.3,72,7,8.470588235294118,9.565217391304348,182
Kolkata Knight Riders,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",18.6,189,4,9.947368421052632,22.0,211
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,17.6,172,6,9.555555555555555,1.5,175
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,8.3,66,9,7.764705882352941,8.08695652173913,159
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",10.1,56,8,5.508196721311475,7.627118644067797,131
Mumbai Indians,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",5.1,49,8,9.483870967741936,9.775280898876405,194
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,11.3,87,7,7.565217391304348,4.705882352941177,127
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",18.6,173,5,9.105263157894736,22.0,195
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",11.2,122,9,10.764705882352942,2.076923076923077,140
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,7.5,71,8,9.063829787234043,9.123287671232877,182
Gujarat Titans,Rajasthan Royals,"Eden Gardens, Kolkata",9.2,84,8,9.0,9.84375,189
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,8.1,67,9,8.204081632653061,8.619718309859154,169
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",14.6,116,9,7.733333333333333,9.0,161
Kolkata Knight Riders,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",14.3,134,6,9.241379310344827,14.0,211
Gujarat Titans,Rajasthan Royals,"Eden Gardens, Kolkata",17.3,158,7,9.028571428571428,12.4,189
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",13.3,98,8,7.2592592592592595,8.615384615384615,154
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",9.4,66,9,6.827586206896552,9.67741935483871,166
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,17.6,85,1,4.722222222222222,17.0,119
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",9.6,85,8,8.5,11.6,201
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",12.4,129,9,10.18421052631579,1.5,140
Royal Challengers Bangalore,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",16.6,167,2,9.823529411764708,16.666666666666668,217
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,9.3,75,10,7.894736842105263,3.333333333333333,110
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,12.3,97,6,7.76,12.133333333333333,188
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,15.3,83,2,5.354838709677419,25.55555555555556,198
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,18.6,163,5,8.578947368421053,6.0,169
Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",7.4,55,8,7.173913043478261,13.702702702702704,224
Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",6.4,49,8,7.35,10.275,186
Chennai Super Kings,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",10.5,77,7,7.107692307692307,8.618181818181819,156
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,7.6,73,8,9.125,7.166666666666667,159
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",17.4,122,7,6.90566037735849,7.714285714285714,140
Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,5.2,58,10,10.875,8.863636363636363,188
Mumbai Indians,Delhi Capitals,Wankhede Stadium,6.5,49,7,7.170731707317073,12.531645569620252,214
Mumbai Indians,Delhi Capitals,Wankhede Stadium,10.1,90,7,8.852459016393443,12.610169491525424,214
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,6.3,26,8,4.0,11.11111111111111,176
Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,15.4,130,8,8.297872340425531,1.3846153846153846,136
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,14.4,116,9,7.909090909090909,5.8125,147
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,15.5,102,7,6.442105263157894,3.84,118
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,7.4,45,8,5.869565217391305,11.91891891891892,192
Sunrisers Hyderabad,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",18.3,146,4,7.891891891891892,16.0,170
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,11.3,80,6,6.956521739130435,13.764705882352942,197
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",14.4,112,7,7.636363636363637,5.0625,139
Kolkata Knight Riders,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",7.3,66,7,8.8,11.6,211
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,6.3,22,7,3.3846153846153846,11.555555555555555,178
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,15.4,91,3,5.808510638297872,19.384615384615383,175
Kolkata Knight Riders,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,8.6,90,9,10.0,8.545454545454545,184
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,6.3,61,9,9.384615384615383,9.407407407407408,188
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,9.2,50,8,5.357142857142857,7.21875,127
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",15.7,126,9,7.793814432989691,9.130434782608695,161
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",17.6,88,2,4.888888888888889,24.5,137
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",16.1,109,7,6.742268041237113,13.043478260869565,159
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,10.4,104,7,9.75,7.285714285714286,172
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,14.7,157,9,10.351648351648352,0.0,154
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",6.2,52,8,8.210526315789474,11.560975609756095,210
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,15.1,135,5,8.901098901098901,13.03448275862069,198
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,5.5,40,9,6.857142857142857,6.282352941176471,129
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,16.4,114,6,6.84,11.4,152
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",13.1,136,9,10.329113924050631,0.5853658536585366,140
Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",10.6,73,4,6.636363636363637,14.77777777777778,206
Mumbai Indians,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",13.1,122,7,9.265822784810126,10.53658536585366,194
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,5.5,46,8,7.885714285714286,9.6,182
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,17.4,164,4,9.283018867924527,14.571428571428571,198
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",17.3,162,6,9.257142857142858,9.6,186
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",11.4,67,7,5.742857142857143,7.68,131
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,7.6,66,10,8.25,8.083333333333334,163
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,14.2,133,7,9.27906976744186,18.176470588235293,236
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",6.3,39,9,6.0,7.481481481481482,140
Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",10.2,63,5,6.096774193548387,10.03448275862069,160
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",11.1,93,8,8.328358208955224,12.79245283018868,206
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,18.3,161,2,8.702702702702704,18.0,188
Royal Challengers Bangalore,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",13.6,128,5,9.142857142857142,14.833333333333334,217
Kings XI Punjab,Mumbai Indians,Wankhede Stadium,14.2,114,3,7.953488372093023,10.764705882352942,175
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,5.4,46,10,8.117647058823529,9.27906976744186,179
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",9.4,75,7,7.758620689655173,3.6774193548387095,113
Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,10.2,79,6,7.645161290322581,11.275862068965518,188
Lucknow Super Giants,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",15.7,122,7,7.546391752577319,7.304347826086956,150
